TIPOENQUADRAMENTO,mes_ano2,total
OUTROS CRIMES CONTRA A CRIANCA/ADOLESCENTE,fev 2026,3
OUTROS CRIMES CONTRA A CRIANCA/ADOLESCENTE,mar 2026,3
OUTROS CRIMES CONTRA A CRIANCA/ADOLESCENTE,abr 2026,1
OUTROS CRIMES CONTRA A ORGANIZACAO DO TRABALHO,set 2024,1
OUTROS CRIMES CONTRA MEIO AMBIENTE,mar 2026,1
OUTROS CRIMES CONTRA O IDOSO,jan 2024,2
OUTROS CRIMES CONTRA O IDOSO,fev 2024,1
OUTROS CRIMES CONTRA O IDOSO,mar 2024,1
OUTROS CRIMES CONTRA O IDOSO,abr 2024,1
OUTROS CRIMES CONTRA O IDOSO,mai 2024,1
OUTROS CRIMES CONTRA O IDOSO,jun 2024,1
OUTROS CRIMES CONTRA O IDOSO,jul 2024,2
OUTROS CRIMES CONTRA O IDOSO,ago 2024,1
OUTROS CRIMES CONTRA O IDOSO,out 2024,1
OUTROS CRIMES CONTRA O IDOSO,fev 2025,2
OUTROS CRIMES CONTRA O IDOSO,mar 2025,1
OUTROS CRIMES CONTRA O IDOSO,abr 2025,1
OUTROS CRIMES CONTRA O IDOSO,jun 2025,1
OUTROS CRIMES CONTRA O IDOSO,jul 2025,2
OUTROS CRIMES CONTRA O IDOSO,ago 2025,2
OUTROS CRIMES CONTRA O IDOSO,nov 2025,2
OUTROS CRIMES CONTRA O IDOSO,dez 2025,2
OUTROS CRIMES CONTRA O IDOSO,jan 2026,1
OUTROS CRIMES CONTRA O IDOSO,fev 2026,1
OUTROS CRIMES CONTRA O IDOSO,mar 2026,2
OUTROS CRIMES CONTRA O IDOSO,abr 2026,2
OUTROS CRIMES CONTRA RELACAO DE CONSUMO EOU ECONOMIA POPULAR,ago 2024,1
OUTROS CRIMES CONTRA RELACAO DE CONSUMO EOU ECONOMIA POPULAR,set 2024,1
OUTROS CRIMES CONTRA RELACAO DE CONSUMO EOU ECONOMIA POPULAR,nov 2024,1
OUTROS CRIMES CONTRA RELACAO DE CONSUMO EOU ECONOMIA POPULAR,dez 2024,1
OUTROS CRIMES CONTRA RELACAO DE CONSUMO EOU ECONOMIA POPULAR,dez 2025,2
OUTROS CRIMES QUE GERAM TERMOS CIRCUNSTANCIADOS,abr 2026,1
OUTROS FURTOS,jan 2024,9
OUTROS FURTOS,fev 2024,14
OUTROS FURTOS,mar 2024,7
OUTROS FURTOS,abr 2024,8
OUTROS FURTOS,mai 2024,8
OUTROS FURTOS,jun 2024,8
OUTROS FURTOS,jul 2024,11
OUTROS FURTOS,ago 2024,4
OUTROS FURTOS,set 2024,5
OUTROS FURTOS,out 2024,10
OUTROS FURTOS,nov 2024,3
OUTROS FURTOS,dez 2024,9
OUTROS FURTOS,jan 2025,10
OUTROS FURTOS,fev 2025,15
OUTROS FURTOS,mar 2025,13
OUTROS FURTOS,abr 2025,10
OUTROS FURTOS,mai 2025,24
OUTROS FURTOS,jun 2025,14
OUTROS FURTOS,jul 2025,7
OUTROS FURTOS,ago 2025,15
OUTROS FURTOS,set 2025,8
OUTROS FURTOS,out 2025,16
OUTROS FURTOS,nov 2025,8
OUTROS FURTOS,dez 2025,14
OUTROS FURTOS,jan 2026,9
OUTROS FURTOS,fev 2026,7
OUTROS FURTOS,mar 2026,7
OUTROS FURTOS,abr 2026,8
OUTROS FURTOS,mai 2026,11
OUTROS ROUBOS,jan 2024,1
OUTROS ROUBOS,fev 2024,1
OUTROS ROUBOS,mar 2024,1
OUTROS ROUBOS,abr 2024,2
OUTROS ROUBOS,mai 2024,2
OUTROS ROUBOS,jul 2024,1
OUTROS ROUBOS,out 2024,2
OUTROS ROUBOS,nov 2024,1
OUTROS ROUBOS,mar 2025,1
OUTROS ROUBOS,mai 2025,5
OUTROS ROUBOS,jun 2025,3
OUTROS ROUBOS,ago 2025,3
OUTROS ROUBOS,set 2025,3
OUTROS ROUBOS,nov 2025,4
OUTROS ROUBOS,dez 2025,3
OUTROS ROUBOS,jan 2026,1
OUTROS ROUBOS,fev 2026,1
OUTROS ROUBOS,mar 2026,3
OUTROS ROUBOS,abr 2026,3
OUTROS ROUBOS,mai 2026,2
"PERMITIR,CONFIAR,OU ENTREG. DIRECAO A PESSOA S/HABIL.ART 310",fev 2024,1
"PERMITIR,CONFIAR,OU ENTREG. DIRECAO A PESSOA S/HABIL.ART 310",jan 2025,1
"PERMITIR,CONFIAR,OU ENTREG. DIRECAO A PESSOA S/HABIL.ART 310",set 2025,1
"PERMITIR,CONFIAR,OU ENTREG. DIRECAO A PESSOA S/HABIL.ART 310",dez 2025,1
"PERMITIR,CONFIAR,OU ENTREG. DIRECAO A PESSOA S/HABIL.ART 310",jan 2026,1
PERSEGUICAO,jan 2024,2
PERSEGUICAO,fev 2024,1
PERSEGUICAO,mar 2024,1
PERSEGUICAO,abr 2024,2
PERSEGUICAO,mai 2024,1
PERSEGUICAO,jun 2024,2
PERSEGUICAO,jul 2024,2
PERSEGUICAO,ago 2024,1
PERSEGUICAO,set 2024,4
PERSEGUICAO,nov 2024,2
PERSEGUICAO,dez 2024,2
PERSEGUICAO,jan 2025,1
PERSEGUICAO,fev 2025,1
PERSEGUICAO,mar 2025,2
PERSEGUICAO,abr 2025,3
PERSEGUICAO,mai 2025,3
PERSEGUICAO,jul 2025,5
PERSEGUICAO,set 2025,6
PERSEGUICAO,out 2025,3
PERSEGUICAO,dez 2025,3
PERSEGUICAO,jan 2026,2
PERSEGUICAO,fev 2026,4
PERSEGUICAO,mar 2026,9
PERSEGUICAO,abr 2026,2
PERSEGUICAO,mai 2026,1
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jan 2024,5
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,fev 2024,5
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mar 2024,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,abr 2024,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mai 2024,1
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jun 2024,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jul 2024,5
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,ago 2024,6
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,set 2024,6
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,out 2024,7
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,nov 2024,6
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,dez 2024,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jan 2025,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,fev 2025,7
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mar 2025,2
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,abr 2025,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mai 2025,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jun 2025,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jul 2025,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,ago 2025,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,out 2025,2
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,nov 2025,5
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,dez 2025,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,jan 2026,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,fev 2026,4
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mar 2026,9
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,abr 2026,3
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,mai 2026,5
PICHAR OU POR OUTRO MEIO CONSPURCAR EDIFICACAO OU MONUMENTO URBANO,abr 2026,1
PORNOGRAFIA INFANTO-JUVENIL,jun 2024,1
PORNOGRAFIA INFANTO-JUVENIL,dez 2025,1
PORNOGRAFIA INFANTO-JUVENIL,abr 2026,1
PORNOGRAFIA INFANTO-JUVENIL,mai 2026,1
PORTE ARMA BRANCA,dez 2024,1
PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,jan 2024,1
POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO,fev 2024,1
POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO,jul 2024,1
POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO,ago 2024,1
POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO,jan 2025,1
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,ago 2024,2
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,nov 2024,1
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,dez 2024,1
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,jul 2025,1
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,ago 2025,1
POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO,nov 2025,1
PRECONCEITO DEFICIENCIA,nov 2024,1
PRECONCEITO ETNIA PROCEDENCIA NACIONAL,ago 2024,1
PRECONCEITO RACA COR,jan 2024,1
PRECONCEITO RACA COR,fev 2024,1
PRECONCEITO RACA COR,abr 2024,1
PRECONCEITO RACA COR,mai 2024,1
PRECONCEITO RACA COR,jun 2024,1
PRECONCEITO RACA COR,jul 2024,2
PRECONCEITO RACA COR,nov 2024,2
PRECONCEITO RACA COR,jan 2025,3
PRECONCEITO RACA COR,jun 2025,1
PRECONCEITO RACA COR,jul 2025,1
PRECONCEITO RACA COR,out 2025,2
PRECONCEITO RACA COR,mar 2026,1
PRECONCEITO RACA COR,abr 2026,1
PRECONCEITO RELIGIAO,jan 2025,1
PRECONCEITO RELIGIAO,jun 2025,1
PRECONCEITO RELIGIAO,jul 2025,1
PRECONCEITO RELIGIAO,dez 2025,1
RECEPTACAO,jan 2024,2
RECEPTACAO,fev 2024,1
RECEPTACAO,mar 2024,2
RECEPTACAO,abr 2024,2
RECEPTACAO,mai 2024,2
RECEPTACAO,jun 2024,2
RECEPTACAO,jul 2024,5
RECEPTACAO,ago 2024,4
RECEPTACAO,set 2024,1
RECEPTACAO,out 2024,3
RECEPTACAO,dez 2024,1
RECEPTACAO,jan 2025,4
RECEPTACAO,fev 2025,3
RECEPTACAO,mar 2025,2
RECEPTACAO,abr 2025,3
RECEPTACAO,mai 2025,3
RECEPTACAO,jun 2025,8
RECEPTACAO,jul 2025,3
RECEPTACAO,ago 2025,2
RECEPTACAO,set 2025,2
RECEPTACAO,out 2025,2
RECEPTACAO,nov 2025,1
RECEPTACAO,mar 2026,1
RECEPTACAO CULPOSA,mai 2024,1
RECEPTACAO CULPOSA,ago 2025,1
RECEPTACAO DE VEICULO,jul 2024,1
RECEPTACAO QUALIFICADA,abr 2024,1
RECEPTACAO QUALIFICADA,jul 2024,1
RESISTENCIA,jan 2024,1
RESISTENCIA,fev 2024,1
RESISTENCIA,abr 2024,1
RIXA,abr 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,fev 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,mar 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,abr 2024,2
ROUBO A ESTABELECIMENTO COMERCIAL,mai 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,jul 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,ago 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,set 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,out 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,nov 2024,1
ROUBO A ESTABELECIMENTO COMERCIAL,jan 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,mar 2025,3
ROUBO A ESTABELECIMENTO COMERCIAL,abr 2025,2
ROUBO A ESTABELECIMENTO COMERCIAL,jun 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,ago 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,out 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,nov 2025,2
ROUBO A ESTABELECIMENTO COMERCIAL,dez 2025,1
ROUBO A ESTABELECIMENTO COMERCIAL,fev 2026,1
ROUBO A ESTABELECIMENTO COMERCIAL,mar 2026,2
ROUBO A ESTABELECIMENTO COMERCIAL COM LESOES,abr 2025,1
ROUBO A MOTORISTA DE APLICATIVO,mar 2025,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,mar 2024,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,jul 2024,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,ago 2024,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,fev 2025,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,dez 2025,1
ROUBO A MOTORISTA DE CARRO ENTREGAS,mar 2026,1
ROUBO A MOTORISTA DE TAXI,fev 2025,1
ROUBO A MOTORISTA DE TAXI,set 2025,2
ROUBO A PASSAGEIRO TRANSP. COLETIVO E LOTACAO,abr 2024,1
ROUBO A PASSAGEIRO TRANSP. COLETIVO E LOTACAO,set 2025,1
ROUBO A PEDESTRE,jan 2024,11
ROUBO A PEDESTRE,fev 2024,7
ROUBO A PEDESTRE,mar 2024,9
ROUBO A PEDESTRE,abr 2024,8
ROUBO A PEDESTRE,mai 2024,1
ROUBO A PEDESTRE,jun 2024,5
ROUBO A PEDESTRE,jul 2024,4
ROUBO A PEDESTRE,ago 2024,3
ROUBO A PEDESTRE,set 2024,7
ROUBO A PEDESTRE,out 2024,6
ROUBO A PEDESTRE,nov 2024,10
ROUBO A PEDESTRE,dez 2024,3
ROUBO A PEDESTRE,jan 2025,2
ROUBO A PEDESTRE,fev 2025,6
ROUBO A PEDESTRE,mar 2025,8
ROUBO A PEDESTRE,abr 2025,11
ROUBO A PEDESTRE,mai 2025,7
ROUBO A PEDESTRE,jun 2025,10
ROUBO A PEDESTRE,jul 2025,3
ROUBO A PEDESTRE,ago 2025,5
ROUBO A PEDESTRE,set 2025,10
ROUBO A PEDESTRE,out 2025,6
ROUBO A PEDESTRE,nov 2025,7
ROUBO A PEDESTRE,dez 2025,3
ROUBO A PEDESTRE,jan 2026,10
ROUBO A PEDESTRE,fev 2026,5
ROUBO A PEDESTRE,mar 2026,4
ROUBO A PEDESTRE,abr 2026,7
ROUBO A PEDESTRE,mai 2026,7
ROUBO A PEDESTRE COM LESOES,fev 2024,1
ROUBO A PEDESTRE COM LESOES,abr 2024,1
ROUBO A PEDESTRE COM LESOES,set 2024,1
ROUBO A PEDESTRE COM LESOES,out 2024,1
ROUBO A PEDESTRE COM LESOES,fev 2025,1
ROUBO A PEDESTRE COM LESOES,abr 2025,1
ROUBO A PEDESTRE COM LESOES,mai 2025,3
ROUBO A PEDESTRE COM LESOES,jul 2025,1
ROUBO A PEDESTRE COM LESOES,out 2025,2
ROUBO A PEDESTRE COM LESOES,jan 2026,4
ROUBO A PEDESTRE COM LESOES,fev 2026,1
ROUBO A RESIDENCIA,mar 2024,1
ROUBO A RESIDENCIA,mai 2024,1
ROUBO A RESIDENCIA,jul 2024,1
ROUBO A RESIDENCIA,nov 2025,1
ROUBO A RESIDENCIA,jan 2026,1
ROUBO A TRANSPORTE COLETIVO,jun 2024,1
ROUBO A TRANSPORTE COLETIVO,ago 2024,1
ROUBO COM LESOES,jan 2024,1
ROUBO COM LESOES,fev 2024,1
ROUBO COM LESOES,abr 2025,1
ROUBO COM LESOES,jul 2025,1
ROUBO COM LESOES,set 2025,1
ROUBO COM LESOES,out 2025,1
ROUBO COM LESOES,jan 2026,1
ROUBO DE ARMA,fev 2024,1
ROUBO DE CELULAR,jan 2024,11
ROUBO DE CELULAR,fev 2024,12
ROUBO DE CELULAR,mar 2024,12
ROUBO DE CELULAR,abr 2024,9
ROUBO DE CELULAR,mai 2024,2
ROUBO DE CELULAR,jun 2024,5
ROUBO DE CELULAR,jul 2024,8
ROUBO DE CELULAR,ago 2024,4
ROUBO DE CELULAR,set 2024,6
ROUBO DE CELULAR,out 2024,3
ROUBO DE CELULAR,dez 2024,2
ROUBO DE CELULAR,jan 2025,3
ROUBO DE CELULAR,fev 2025,4
ROUBO DE CELULAR,mar 2025,4
ROUBO DE CELULAR,abr 2025,4
ROUBO DE CELULAR,mai 2025,1
ROUBO DE CELULAR,jun 2025,3
ROUBO DE CELULAR,jul 2025,1
ROUBO DE CELULAR,set 2025,8
ROUBO DE CELULAR,out 2025,2
ROUBO DE CELULAR,nov 2025,1
ROUBO DE CELULAR,jan 2026,3
ROUBO DE CELULAR,abr 2026,4
ROUBO DE CELULAR,mai 2026,1
ROUBO DE DOCUMENTO,fev 2024,2
ROUBO DE DOCUMENTO,set 2024,1
ROUBO DE DOCUMENTO,dez 2024,1
ROUBO DE DOCUMENTO,mai 2025,1
ROUBO DE DOCUMENTO,ago 2025,1
ROUBO DE DOCUMENTO,set 2025,1
ROUBO DE VEICULO,jan 2024,1
ROUBO DE VEICULO,fev 2024,1
ROUBO DE VEICULO,mar 2024,1
ROUBO DE VEICULO,mai 2024,2
ROUBO DE VEICULO,ago 2024,1
ROUBO DE VEICULO,set 2024,2
ROUBO DE VEICULO,jan 2025,1
ROUBO DE VEICULO,fev 2025,1
ROUBO DE VEICULO,mar 2025,2
ROUBO DE VEICULO,abr 2026,1
ROUBO DE VEICULO,mai 2026,1
SEQUESTRO E CARCERE PRIVADO,jul 2024,1
SEQUESTRO E CARCERE PRIVADO,out 2024,1
SEQUESTRO E CARCERE PRIVADO,nov 2024,1
SEQUESTRO RELAMPAGO,abr 2026,1
SEQUESTRO RELAMPAGO,mai 2026,1
TRAFEGAR COM VELOCIDADE INCOMPATIVEL COM A SEGURANCA ART.311,nov 2025,1
USO DE DOCUMENTO FALSO,jun 2025,2
VIAS DE FATO,jan 2024,2
VIAS DE FATO,fev 2024,1
VIAS DE FATO,mar 2024,2
VIAS DE FATO,abr 2024,2
VIAS DE FATO,mai 2024,4
VIAS DE FATO,jun 2024,4
VIAS DE FATO,jul 2024,6
VIAS DE FATO,ago 2024,4
VIAS DE FATO,set 2024,2
VIAS DE FATO,out 2024,2
VIAS DE FATO,nov 2024,1
VIAS DE FATO,dez 2024,5
VIAS DE FATO,jan 2025,7
VIAS DE FATO,fev 2025,5
VIAS DE FATO,mar 2025,3
VIAS DE FATO,abr 2025,2
VIAS DE FATO,mai 2025,9
VIAS DE FATO,jun 2025,4
VIAS DE FATO,jul 2025,4
VIAS DE FATO,ago 2025,4
VIAS DE FATO,set 2025,4
VIAS DE FATO,out 2025,3
VIAS DE FATO,nov 2025,2
VIAS DE FATO,dez 2025,2
VIAS DE FATO,jan 2026,4
VIAS DE FATO,fev 2026,1
VIAS DE FATO,mar 2026,3
VIAS DE FATO,abr 2026,3
VIAS DE FATO,mai 2026,4
VIOLACAO DE DOMICILIO,fev 2024,1
VIOLACAO DE DOMICILIO,jul 2024,1
VIOLACAO DE DOMICILIO,ago 2024,1
VIOLACAO DE DOMICILIO,out 2024,1
VIOLACAO DE DOMICILIO,nov 2024,1
VIOLACAO DE DOMICILIO,dez 2024,2
VIOLACAO DE DOMICILIO,jan 2025,2
VIOLACAO DE DOMICILIO,fev 2025,2
VIOLACAO DE DOMICILIO,mai 2025,1
VIOLACAO DE DOMICILIO,out 2025,1
VIOLACAO DE DOMICILIO,jan 2026,2
VIOLACAO DE DOMICILIO,fev 2026,1
VIOLACAO DE DOMICILIO,mar 2026,1
VIOLACAO DE DOMICILIO,mai 2026,1
VIOLACAO SEXUAL MEDIANTE FRAUDE,out 2024,1
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,jul 2024,1
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,set 2024,1
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,out 2024,2
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,fev 2025,1
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,ago 2025,2
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,set 2025,1
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,out 2025,2
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,nov 2025,3
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,jan 2026,3
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,fev 2026,3
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,mar 2026,5
VIOLENCIA PSICOLOGICA CONTRA MULHER ART 147B,abr 2026,2
